Date,Open,High,Low,Close,Volume,SMA_50,SMA_200,EMA_20,RSI_14,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,Volume_SMA_20
2025-06-16,148.93846640213576,151.37815861242703,147.7921093251464,151.05482482910156,16188193,,,,,,,,
2025-06-17,150.7020980381509,151.7602772489202,149.27160731004182,149.5165557861328,16740382,,,,,,,,
2025-06-18,149.12463111144888,150.10442502801618,147.75292560844213,149.0364532470703,14860746,,,,,,,,
2025-06-19,148.92867698416805,149.3695812614616,147.4589860928769,147.94888305664062,20145922,,,,,,,,
2025-06-20,147.70392700702223,150.07502639609703,147.5863565258928,148.89927673339844,29944714,,,,,,,,
2025-06-23,147.45898055307632,150.2024064371807,147.43938048913083,149.3499755859375,17096676,,,,,,,,
2025-06-24,150.69230607959693,153.79825097470666,150.5355354661638,151.66229248046875,25403324,,,,,,,,
2025-06-25,152.7498608237262,153.72965470957556,152.3677418062637,153.22996520996094,18240433,,,,,,,,
2025-06-26,153.70027010597835,157.84480922363562,153.28875844651355,157.29611206054688,40650557,,,,,,,,
2025-06-27,157.74682459820806,160.00035365399057,157.4528834256331,158.18772888183594,31989509,,,,,,,,
2025-06-30,157.7370329296518,158.92257523340902,156.27713456626822,156.53187561035156,15842285,,,,,,,,
2025-07-01,156.77681298008653,157.19813212171806,154.54288413508942,156.8258056640625,17823415,,,,,,,,
2025-07-02,156.8258059465753,162.7927470840807,156.60045754044165,162.52821350097656,63315210,,,,,,,,
2025-07-03,162.64579505453744,165.36962102869035,161.87176441531565,162.5576171875,60571824,,,,77.35323679140194,,,,
2025-07-04,162.55761312522574,163.12589539382557,158.7266153035522,159.71620178222656,22938753,,,,68.14448280271066,,,,
2025-07-07,159.7064126190942,160.0493464791388,156.81602347896515,159.1185302734375,17469909,,,,66.35507618984774,,,,
2025-07-08,159.167516736486,159.6084210032526,158.33470088825314,158.6972198486328,11398248,,,,65.05818184741558,,,,
2025-07-09,158.67762048517898,158.67762048517898,154.3273331395368,155.7872314453125,29839077,,,,56.80053001053237,,,,
2025-07-10,156.76702870753138,158.28571228822938,156.06157588231,157.4136962890625,17566887,,,,59.866709145113354,,,,
2025-07-11,157.39409815300198,158.35429202947023,156.1007779245607,156.61026000976562,20689511,,,155.0984359741211,57.6884989536798,,,,25435778.75
2025-07-14,156.61025305703114,157.8643880503442,156.08117093035503,157.19813537597656,15152964,,,155.29840734572636,58.867774030594184,,,,25384017.3
2025-07-15,157.02176638780475,157.59985615615295,154.75844485133464,155.7872314453125,17993051,,,155.34496202187742,54.9120905817015,,,,25446650.75
2025-07-16,155.787224418252,156.05177294773478,153.82763668972055,154.15097045898438,14591157,,,155.2312485396971,50.660484040392625,,,,25433171.3
2025-07-17,154.31753751190692,157.45287496649962,153.94521104995056,156.66903686523438,21733241,,,155.36818076117686,56.27158532394026,,,,25512537.25
2025-07-18,156.86500525657647,159.4614530433001,156.86500525657647,159.08912658691406,30728478,,,155.72255655410422,60.876673676868734,,,,25551725.45
2025-07-21,159.21651614579585,162.25388335707254,159.20672358850962,159.72601318359375,29812899,,,156.10383813786513,62.010516736075104,1.6548428008788676,,,26187536.6
2025-07-22,160.0003461911957,161.08791801366775,159.44185649430568,159.74559020996094,13615524,,,156.4506716685409,62.046927803454246,1.7340551442123626,,,25598146.6
2025-07-23,159.95136074796844,160.82337675678392,158.60904783395793,159.48106384277344,14287149,,,156.73928044703922,61.19347004567248,1.7552529663166467,,,25400482.4
